ConditionName,ConditionSNOMED,PathogenName,PathogenTaxonID,Fatalities,CountryName,CountryISO,Admin1Name,Admin1ISO,Admin2Name,CityName,PeriodStartDate,PeriodEndDate,PartOfCumulativeCountSeries,AgeRange,Subpopulation,PlaceOfAquisition,DiagnosisCertainty,SourceName,CountValue,DOI
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1927-11-20,1927-11-26,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,93.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1927-11-27,1927-12-03,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,57.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1927-12-04,1927-12-10,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,94.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1927-12-18,1927-12-24,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,48.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1927-12-25,1927-12-31,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,82.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-01-01,1928-01-07,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,133.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-01-08,1928-01-14,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,125.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-01-15,1928-01-21,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,120.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-01-22,1928-01-28,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,93.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-01-29,1928-02-04,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,140.0,10.25337/T7/ptycho.v2.0/US.67924001
