"season","season_week","week_start_date","denv1_cases","denv2_cases","denv3_cases","denv4_cases","other_positive_cases","total_cases"
"2000/2001",1,"2000-07-01",0,0,0,0,0,0
"2000/2001",2,"2000-07-08",0,0,0,0,0,0
"2000/2001",3,"2000-07-15",0,0,0,0,0,0
"2000/2001",4,"2000-07-22",0,0,0,0,0,0
"2000/2001",5,"2000-07-29",0,0,0,0,0,0
"2000/2001",6,"2000-08-05",0,0,0,0,0,0
"2000/2001",7,"2000-08-12",0,0,0,0,0,0
"2000/2001",8,"2000-08-19",0,0,0,0,0,0
"2000/2001",9,"2000-08-26",0,0,0,0,0,0
"2000/2001",10,"2000-09-02",0,0,0,0,0,0
"2000/2001",11,"2000-09-09",0,0,0,0,1,1
"2000/2001",12,"2000-09-16",0,0,0,0,0,0
"2000/2001",13,"2000-09-23",0,0,0,0,0,0
"2000/2001",14,"2000-09-30",0,0,0,0,0,0
"2000/2001",15,"2000-10-07",0,0,0,0,0,0
"2000/2001",16,"2000-10-14",0,0,0,0,1,1
"2000/2001",17,"2000-10-21",0,0,0,0,1,1
"2000/2001",18,"2000-10-28",0,0,0,0,0,0
"2000/2001",19,"2000-11-04",0,0,0,0,0,0
"2000/2001",20,"2000-11-11",0,0,0,0,0,0
"2000/2001",21,"2000-11-18",0,0,0,0,0,0
"2000/2001",22,"2000-11-25",0,0,0,0,0,0
"2000/2001",23,"2000-12-02",0,0,0,0,0,0
"2000/2001",24,"2000-12-09",0,0,0,0,0,0
"2000/2001",25,"2000-12-16",0,0,0,0,1,1
"2000/2001",26,"2000-12-23",0,0,0,0,0,0
"2000/2001",27,"2001-01-01",0,0,0,0,0,0
"2000/2001",28,"2001-01-08",0,0,0,0,0,0
"2000/2001",29,"2001-01-15",0,0,0,0,0,0
"2000/2001",30,"2001-01-22",0,0,0,0,0,0
"2000/2001",31,"2001-01-29",0,0,0,0,0,0
"2000/2001",32,"2001-02-05",0,0,0,0,0,0
"2000/2001",33,"2001-02-12",0,0,0,0,0,0
"2000/2001",34,"2001-02-19",0,0,0,0,0,0
"2000/2001",35,"2001-02-26",0,0,0,0,0,0
"2000/2001",36,"2001-03-05",0,0,0,0,0,0
"2000/2001",37,"2001-03-12",0,0,0,0,0,0
"2000/2001",38,"2001-03-19",0,0,0,0,0,0
"2000/2001",39,"2001-03-26",0,0,0,0,0,0
"2000/2001",40,"2001-04-02",0,0,0,0,0,0
"2000/2001",41,"2001-04-09",0,0,0,0,0,0
"2000/2001",42,"2001-04-16",0,0,0,0,1,1
"2000/2001",43,"2001-04-23",0,0,0,0,0,0
"2000/2001",44,"2001-04-30",0,0,0,0,0,0
"2000/2001",45,"2001-05-07",0,0,0,0,0,0
"2000/2001",46,"2001-05-14",0,0,0,0,0,0
"2000/2001",47,"2001-05-21",0,0,0,0,1,1
"2000/2001",48,"2001-05-28",1,0,0,0,0,1
"2000/2001",49,"2001-06-04",0,0,0,0,0,0
