"","wkid","District","count","Week","Year","month","pr"
"1",1,"Petaling",28,26,2013,6,150.498
"2",2,"Petaling",38,27,2013,7,179.467
"3",3,"Petaling",31,28,2013,7,179.467
"4",4,"Petaling",214,29,2013,7,179.467
"5",5,"Petaling",89,30,2013,7,179.467
"6",6,"Petaling",95,31,2013,8,249.371
"7",7,"Petaling",119,32,2013,8,249.371
"8",8,"Petaling",160,33,2013,8,249.371
"9",9,"Petaling",188,34,2013,8,249.371
"10",10,"Petaling",233,35,2013,9,258.185
"11",11,"Petaling",295,36,2013,9,258.185
"12",12,"Petaling",328,37,2013,9,258.185
"13",13,"Petaling",363,38,2013,9,258.185
"14",14,"Petaling",402,39,2013,9,258.185
"15",18,"Petaling",686,43,2013,10,275.905
"16",19,"Petaling",767,44,2013,11,448.057
"17",20,"Petaling",902,45,2013,11,448.057
"18",21,"Petaling",922,46,2013,11,448.057
"19",22,"Petaling",1012,47,2013,11,448.057
"20",23,"Petaling",1152,48,2013,12,374.825
"21",24,"Petaling",1202,49,2013,12,374.825
"22",25,"Petaling",1331,50,2013,12,374.825
"23",27,"Petaling",1463,52,2013,12,374.825
"24",28,"Petaling",1866,1,2014,1,317.316
"25",29,"Petaling",1893,2,2014,1,317.316
"26",30,"Petaling",1888,3,2014,1,317.316
"27",31,"Petaling",1991,4,2014,1,317.316
"28",32,"Petaling",1872,5,2014,2,94.7298
"29",33,"Petaling",1997,6,2014,2,94.7298
"30",34,"Petaling",1811,7,2014,2,94.7298
"31",35,"Petaling",1583,8,2014,2,94.7298
"32",36,"Petaling",1742,9,2014,3,126.277
"33",37,"Petaling",1196,10,2014,3,126.277
"34",38,"Petaling",1279,11,2014,3,126.277
"35",39,"Petaling",1059,12,2014,3,126.277
"36",40,"Petaling",1079,13,2014,3,126.277
"37",41,"Petaling",738,14,2014,4,186.344
"38",42,"Petaling",948,15,2014,4,186.344
"39",43,"Petaling",867,16,2014,4,186.344
"40",44,"Petaling",827,17,2014,4,186.344
"41",45,"Petaling",877,18,2014,5,262.586
"42",46,"Petaling",848,19,2014,5,262.586
"43",47,"Petaling",703,20,2014,5,262.586
"44",48,"Petaling",773,21,2014,5,262.586
"45",49,"Petaling",804,22,2014,6,140.361
"46",50,"Petaling",916,23,2014,6,140.361
"47",51,"Petaling",837,24,2014,6,140.361
"48",52,"Petaling",627,25,2014,6,140.361
"49",53,"Petaling",696,26,2014,6,140.361
"50",54,"Petaling",541,27,2014,7,187.764
"51",55,"Petaling",540,28,2014,7,187.764
"52",56,"Petaling",1241,29,2014,7,187.764
"53",58,"Petaling",1213,31,2014,8,314.696
"54",59,"Petaling",1111,32,2014,8,314.696
"55",60,"Petaling",1259,33,2014,8,314.696
"56",61,"Petaling",1190,34,2014,8,314.696
"57",62,"Petaling",1032,35,2014,9,191.77
"58",63,"Petaling",917,36,2014,9,191.77
"59",64,"Petaling",911,37,2014,9,191.77
"60",65,"Petaling",839,38,2014,9,191.77
"61",66,"Petaling",696,39,2014,9,191.77
"62",67,"Petaling",678,40,2014,10,293.778
"63",68,"Petaling",742,41,2014,10,293.778
"64",69,"Petaling",809,42,2014,10,293.778
"65",70,"Petaling",957,43,2014,10,293.778
"66",71,"Petaling",957,44,2014,11,337.566
"67",72,"Petaling",1272,45,2014,11,337.566
"68",73,"Petaling",1320,46,2014,11,337.566
"69",74,"Petaling",1419,47,2014,11,337.566
"70",75,"Petaling",1618,48,2014,12,462.979
"71",76,"Petaling",1625,49,2014,12,462.979
"72",77,"Petaling",1816,50,2014,12,462.979
"73",78,"Petaling",2118,51,2014,12,462.979
"74",79,"Petaling",2367,52,2014,12,462.979
"75",80,"Petaling",2161,53,2014,12,462.979
"76",81,"Petaling",2330,1,2015,1,327.939
"77",82,"Petaling",2446,2,2015,1,327.939
"78",83,"Petaling",2837,3,2015,1,327.939
"79",84,"Petaling",3129,4,2015,1,327.939
"80",85,"Petaling",3494,5,2015,2,148.93
"81",86,"Petaling",972,6,2015,2,148.93
"82",87,"Petaling",4154,7,2015,2,148.93
"83",89,"Petaling",4038,9,2015,3,118.765
"84",90,"Petaling",3829,10,2015,3,118.765
"85",91,"Petaling",3305,11,2015,3,118.765
"86",92,"Petaling",2826,12,2015,3,118.765
"87",93,"Petaling",2382,13,2015,3,118.765
"88",94,"Petaling",1991,14,2015,4,231.605
"89",95,"Petaling",1817,15,2015,4,231.605
"90",96,"Petaling",1122,16,2015,4,231.605
"91",97,"Petaling",1093,17,2015,4,231.605
"92",98,"Petaling",909,18,2015,5,202.378
"93",99,"Petaling",760,19,2015,5,202.378
