"Year","Week","State","District","Location","Total_Cases","Outbreak_Duration"
"2012",2,"Selangor","Hulu Langat","Apartment Taman Sri Kenari",5,35
"2012",2,"WPKL","Klang Lama","Taman Gembira D (Jalan Riang 1-8)",13,37
"2012",2,"WPKL","Cheras","Taman Miharja Fasa 2",8,31
"2012",7,"WPKL","Cheras","Taman Miharja (Miharja Kondo Fasa 3)",5,34
"2012",7,"WPKL","Bandar Tun Razak","Flat Sri Melaka B (Blok 24- 40)",8,31
"2012",8,"WPKL","Setapak","Flat Desa Tungku Mariam 1",13,37
"2012",8,"WPKL","Setapak","Taman Sri Rampai (Jln 76/26)",5,32
"2012",9,"WPKL","Setapak","Flat Desa Tungku Mariam 1",13,44
"2012",9,"WPKL","Setapak","Taman Sri Rampai (Jln 76/26)",5,39
"2012",9,"WPKL","Cheras","Taman Bukit Anggerik B (Jln 9/154(No.1-67), 2/154,10-
16/154,23-25/154",8,35
"2012",9,"WPKL","Klang Lama","Ppr Pantai Ria",5,31
"2012",9,"Selangor","Hulu Langat","Apartment Taman Setia Balakong",7,31
"2012",10,"WPKL","Klang Lama","Ppr Pantai Ria",6,38
"2012",10,"Selangor","Hulu Langat","Apartment Taman Setia Balakong",7,38
"2012",10,"Selangor","Petaling","Pju 5 Seksyen 4, Gugusan Semarak",6,37
"2012",10,"Selangor","Hulu Langat","Taman Seri Emas",4,32
"2012",10,"Selangor","Petaling","Pjs 8 Apartment Mentari Court 2",4,31
"2012",11,"WPKL","Klang Lama","Ppr Pantai Ria",9,45
"2012",11,"Selangor","Petaling","Pju 5 Seksyen 4 Gugusan Semarak",6,44
"2012",11,"Selangor","Klang","T.S Jln Dato Dagang 21-30",6,31
"2012",12,"WPKL","Klang Lama","Ppr Pantai Ria",16,52
"2012",12,"WPKL","Cheras","Flat Sri Kota",6,35
"2012",13,"WPKL","Klang Lama","Ppr Pantai Ria",16,59
"2012",14,"WPKL","Setapak","Taman Melati (Jln Melati 1-5)",4,32
"2012",14,"Selangor","Sabak Bernam","Site B Sekinchan",10,31
"2012",15,"Selangor","Sabak Bernam","Site B Sekinchan",10,38
"2012",17,"WPKL","Pusat Bandar","Qrts Kakitangan Atm (Jalan U-Thant)",18,34
