pr,"	Year", Month, Country, ISO3, ISO2,,,,,,,,,,,
203.35,1991,1,MYS,,,,,,,,,,,,,
141.585,1991,2,MYS,,,,,,,,,,,,,
165.388,1991,3,MYS,,,,,,,,,,,,,
298.32,1991,4,MYS,,,,,,,,,,,,,
290.022,1991,5,MYS,,,,,,,,,,,,,
185.904,1991,6,MYS,,,,,,,,,,,,,
125.419,1991,7,MYS,,,,,,,,,,,,,
182.964,1991,8,MYS,,,,,,,,,,,,,
203.983,1991,9,MYS,,,,,,,,,,,,,
223.93,1991,10,MYS,,,,,,,,,,,,,
322.145,1991,11,MYS,,,,,,,,,,,,,
396.37,1991,12,MYS,,,,,,,,,,,,,
133.743,1992,1,MYS,,,,,,,,,,,,,
120.709,1992,2,MYS,,,,,,,,,,,,,
118.966,1992,3,MYS,,,,,,,,,,,,,
151.025,1992,4,MYS,,,,,,,,,,,,,
266.187,1992,5,MYS,,,,,,,,,,,,,
182.345,1992,6,MYS,,,,,,,,,,,,,
167.383,1992,7,MYS,,,,,,,,,,,,,
188.463,1992,8,MYS,,,,,,,,,,,,,
212.382,1992,9,MYS,,,,,,,,,,,,,
275.13,1992,10,MYS,,,,,,,,,,,,,
303.91,1992,11,MYS,,,,,,,,,,,,,
306.553,1992,12,MYS,,,,,,,,,,,,,
198.06,1993,1,MYS,,,,,,,,,,,,,
136.286,1993,2,MYS,,,,,,,,,,,,,
254.154,1993,3,MYS,,,,,,,,,,,,,
198.414,1993,4,MYS,,,,,,,,,,,,,
266.779,1993,5,MYS,,,,,,,,,,,,,
159.503,1993,6,MYS,,,,,,,,,,,,,
237.232,1993,7,MYS,,,,,,,,,,,,,
210.62,1993,8,MYS,,,,,,,,,,,,,
229.37,1993,9,MYS,,,,,,,,,,,,,
315.398,1993,10,MYS,,,,,,,,,,,,,
313.029,1993,11,MYS,,,,,,,,,,,,,
385.903,1993,12,MYS,,,,,,,,,,,,,
219.018,1994,1,MYS,,,,,,,,,,,,,
218.626,1994,2,MYS,,,,,,,,,,,,,
405.418,1994,3,MYS,,,,,,,,,,,,,
229.173,1994,4,MYS,,,,,,,,,,,,,
311.007,1994,5,MYS,,,,,,,,,,,,,
261.163,1994,6,MYS,,,,,,,,,,,,,
121.304,1994,7,MYS,,,,,,,,,,,,,
262.959,1994,8,MYS,,,,,,,,,,,,,
162.9,1994,9,MYS,,,,,,,,,,,,,
326.152,1994,10,MYS,,,,,,,,,,,,,
293.831,1994,11,MYS,,,,,,,,,,,,,
312.338,1994,12,MYS,,,,,,,,,,,,,
216.37,1995,1,MYS,,,,,,,,,,,,,
241.736,1995,2,MYS,,,,,,,,,,,,,
272.36,1995,3,MYS,,,,,,,,,,,,,
231.393,1995,4,MYS,,,,,,,,,,,,,
235.398,1995,5,MYS,,,,,,,,,,,,,
206.227,1995,6,MYS,,,,,,,,,,,,,
227.53,1995,7,MYS,,,,,,,,,,,,,
371.69,1995,8,MYS,,,,,,,,,,,,,
252.717,1995,9,MYS,,,,,,,,,,,,,
374.182,1995,10,MYS,,,,,,,,,,,,,
376.656,1995,11,MYS,,,,,,,,,,,,,
412.949,1995,12,MYS,,,,,,,,,,,,,
346.137,1996,1,MYS,,,,,,,,,,,,,
274.07,1996,2,MYS,,,,,,,,,,,,,
191.47,1996,3,MYS,,,,,,,,,,,,,
251.842,1996,4,MYS,,,,,,,,,,,,,
180.176,1996,5,MYS,,,,,,,,,,,,,
242.44,1996,6,MYS,,,,,,,,,,,,,
174.089,1996,7,MYS,,,,,,,,,,,,,
255.985,1996,8,MYS,,,,,,,,,,,,,
245.6,1996,9,MYS,,,,,,,,,,,,,
348.483,1996,10,MYS,,,,,,,,,,,,,
372.941,1996,11,MYS,,,,,,,,,,,,,
414.77,1996,12,MYS,,,,,,,,,,,,,
166.684,1997,1,MYS,,,,,,,,,,,,,
330.328,1997,2,MYS,,,,,,,,,,,,,
116.803,1997,3,MYS,,,,,,,,,,,,,
232.128,1997,4,MYS,,,,,,,,,,,,,
169.399,1997,5,MYS,,,,,,,,,,,,,
122.237,1997,6,MYS,,,,,,,,,,,,,
204.431,1997,7,MYS,,,,,,,,,,,,,
133.36,1997,8,MYS,,,,,,,,,,,,,
155.919,1997,9,MYS,,,,,,,,,,,,,
