logLik		logLik_se	mu	delta
-47338.84	12.67579	-0.05	5e-04
-47358.09	9.354005	-0.05	0.001
-47336.1	4.54798		-0.05	0.0015
-47356.64	5.543801	-0.05	0.002
-47310.45	20.66266	-0.05	0.0025
-47332.68	8.005511	-0.05	0.003
-47306.91	2.016822	-0.05	0.0035
-47289.7	20.01416	-0.05	0.004
-47268.05	24.97357	-0.05	0.0045
-47283.59	17.01352	-0.05	0.005
-46970.63	2.234921	-0.03888889	5e-04
-46925.82	12.04774	-0.03888889	0.001
-46924.93	26.18613	-0.03888889	0.0015
-46916.91	20.40973	-0.03888889	0.002
-46918.64	9.381316	-0.03888889	0.0025
-46927.24	7.872722	-0.03888889	0.003
-46904.21	6.537764	-0.03888889	0.0035
-46885.83	4.830956	-0.03888889	0.004
-46829.96	14.29004	-0.03888889	0.0045
-46816.61	39.85677	-0.03888889	0.005
-46284.14	7.413083	-0.02777778	5e-04
-46282.34	0.8971787	-0.02777778	0.001
-46251.68	3.047531	-0.02777778	0.0015
-46221.78	8.739622	-0.02777778	0.002
-46218.11	1.328068	-0.02777778	0.0025
-46142.41	20.9964		-0.02777778	0.003
-46155.71	24.95509	-0.02777778	0.0035
-46111.83	2.970965	-0.02777778	0.004
-46027.85	37.16496	-0.02777778	0.0045
-46006.02	32.29095	-0.02777778	0.005
-44618.24	69.00306	-0.01666667	5e-04
-44650.83	33.68635	-0.01666667	0.001
-44606.39	13.40528	-0.01666667	0.0015
-44457.04	49.62522	-0.01666667	0.002
-44415.16	60.07395	-0.01666667	0.0025
-44328.5	62.05029	-0.01666667	0.003
-44234.22	35.93625	-0.01666667	0.0035
-44165.59	25.89963	-0.01666667	0.004
-43918.04	124.2246	-0.01666667	0.0045
-43888.02	7.758135	-0.01666667	0.005
-36721.92	3.503496	-0.005555556	5e-04
-36270.74	17.73498	-0.005555556	0.001
-35494.47	76.44023	-0.005555556	0.0015
-34230.32	332.0632	-0.005555556	0.002
-33011.48	715.8457	-0.005555556	0.0025
-31156.29	364.3279	-0.005555556	0.003
-28898.4	113.8402	-0.005555556	0.0035
-23115.03	129.4168	-0.005555556	0.004
-16653.01	105.4371	-0.005555556	0.0045
-12332.32	271.6025	-0.005555556	0.005
-7584.031	15.71497	0.005555556	5e-04
-7562.333	4.26673		0.005555556	0.001
-7473.366	1.233916	0.005555556	0.0015
-7265.145	69.19655	0.005555556	0.002
-7223.111	30.73781	0.005555556	0.0025
-7108.638	35.54716	0.005555556	0.003
-6945.63	30.09652	0.005555556	0.0035
-6794.957	69.90093	0.005555556	0.004
-6702.705	15.1381		0.005555556	0.0045
-6520.904	62.17158	0.005555556	0.005
-16199.17	15.42025	0.01666667	5e-04
-16100.08	7.184946	0.01666667	0.001
-16002.14	13.00375	0.01666667	0.0015
-15823.7	60.90302	0.01666667	0.002
-15754.99	3.879828	0.01666667	0.0025
-15678		1.72259		0.01666667	0.003
-15468.01	5.422111	0.01666667	0.0035
-15319.5	2.209845	0.01666667	0.004
-15195.6	4.760572	0.01666667	0.0045
-15016.36	2.809668	0.01666667	0.005
-24758.49	29.9556		0.02777778	5e-04
-24671.85	27.26603	0.02777778	0.001
-24569.06	22.02485	0.02777778	0.0015
-24478.87	6.953215	0.02777778	0.002
-24331.43	12.54218	0.02777778	0.0025
-24179.2	35.35291	0.02777778	0.003
-24083.93	6.266714	0.02777778	0.0035
-23958.54	2.098714	0.02777778	0.004
-23720.59	29.71032	0.02777778	0.0045
-23463.24	50.15539	0.02777778	0.005
-31568.81	12.33146	0.03888889	5e-04
-31511.75	17.84337	0.03888889	0.001
-31468.26	8.482572	0.03888889	0.0015
-31376.06	1.075419	0.03888889	0.002
-31330.11	2.324822	0.03888889	0.0025
-31238.58	32.11711	0.03888889	0.003
-31155.5	11.1994		0.03888889	0.0035
-31050.89	49.57632	0.03888889	0.004
-30969.57	25.37501	0.03888889	0.0045
-30867.06	39.26638	0.03888889	0.005
-35396.26	0.91713		0.05	5e-04
-35356.52	27.0898		0.05	0.001
-35324.3	17.87895	0.05	0.0015
-35302.64	3.077091	0.05	0.002
-35260.13	1.001343	0.05	0.0025
-35165.04	19.69184	0.05	0.003
-35140.37	12.42686	0.05	0.0035
-35042.48	8.521699	0.05	0.004
-35035.37	4.070455	0.05	0.0045
-35009.32	3.954655	0.05	0.005
