Season,Count
1,11
2,21
3,11
4,17
5,22
6,44
7,32
8,30
9,12
10,51
11,22
12,21
13,16
14,58
15,39
16,46
17,18
18,41
19,29
20,25
21,12
22,44
23,26
24,37
25,17
26,40
27,43
28,21
29,15
30,63
31,42
32,14
33,3
34,39
35,28
36,18
37,5
38,20
39,20
40,19
41,10
42,40
43,28
44,16
45,23
46,43
47,46
48,25
49,
50,29
51,
52,
53,13
54,55
55,82
56,70
57,11
58,82
59,57
60,44
61,8
62,36
63,66
64,45
65,23
66,55
67,
68,18
69,7
70,16
71,33
72,19
73,16
74,36
75,40
76,22
77,2
78,48
79,27
80,16
81,19
82,58
83,23
84,10
85,23
86,41
87,61
88,20
89,11
90,21
91,39
92,25
93,36
