"                     월
  연도",계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
2001,927,6,56,66,25,3,9,3,4,12,16,56,671
2002,767,241,68,89,82,36,13,11,8,9,4,12,194
2003,1117,188,50,84,267,142,126,67,108,24,17,28,16
2004,487,9,8,10,29,73,4,6,12,2,9,135,190
2005,317,8,22,6,38,10,20,7,19,10,40,55,82
2006,389,13,25,21,10,12,40,60,100,11,2,55,40
2007,131,11,2,2,5,4,30,9,6,7,7,15,33
2008,209,38,20,14,6,14,8,19,10,5,23,32,20
2009,180,5,14,15,11,7,5,6,7,7,9,25,69
2010,228,14,14,4,31,23,12,17,39,15,20,20,19
2011,171,12,19,8,24,16,7,16,31,10,9,10,9
2012,90,11,11,10,4,6,7,6,7,5,2,14,7
2013,294,10,8,8,1,8,17,22,15,5,2,90,108
2014,110,26,7,2,4,5,3,9,9,4,23,5,13
2015,88,6,5,6,5,13,9,9,13,9,5,2,6
2016,113,8,6,10,4,11,6,14,14,12,7,7,14
2017,111,12,13,10,7,7,4,8,13,5,11,9,12
2018,104,52,27,22,3,0,0,0,0,0,0,0,0
