State,time,population
MICHIGAN,1/2/1966,84
MICHIGAN,1/9/1966,47
MICHIGAN,1/16/1966,71
MICHIGAN,1/23/1966,71
MICHIGAN,1/30/1966,50
MICHIGAN,2/6/1966,46
MICHIGAN,2/13/1966,81
MICHIGAN,2/20/1966,64
MICHIGAN,2/27/1966,115
MICHIGAN,3/6/1966,80
MICHIGAN,3/13/1966,73
MICHIGAN,3/20/1966,57
MICHIGAN,3/27/1966,64
MICHIGAN,4/3/1966,62
MICHIGAN,4/10/1966,73
MICHIGAN,4/17/1966,41
MICHIGAN,4/24/1966,60
MICHIGAN,5/1/1966,27
MICHIGAN,5/8/1966,68
MICHIGAN,5/15/1966,39
MICHIGAN,5/22/1966,49
MICHIGAN,5/29/1966,28
MICHIGAN,6/5/1966,44
MICHIGAN,6/12/1966,39
MICHIGAN,6/19/1966,27
MICHIGAN,6/26/1966,23
MICHIGAN,7/3/1966,30
MICHIGAN,7/10/1966,48
MICHIGAN,7/17/1966,34
MICHIGAN,7/24/1966,45
MICHIGAN,7/31/1966,30
MICHIGAN,8/7/1966,27
MICHIGAN,8/14/1966,66
MICHIGAN,8/21/1966,52
MICHIGAN,8/28/1966,34
MICHIGAN,9/4/1966,19
MICHIGAN,9/11/1966,41
MICHIGAN,9/18/1966,27
MICHIGAN,9/25/1966,35
MICHIGAN,10/2/1966,42
MICHIGAN,10/9/1966,52
MICHIGAN,10/16/1966,47
MICHIGAN,10/23/1966,46
MICHIGAN,10/30/1966,43
MICHIGAN,11/6/1966,34
MICHIGAN,11/13/1966,39
MICHIGAN,11/20/1966,55
MICHIGAN,11/27/1966,54
MICHIGAN,12/4/1966,39
MICHIGAN,12/11/1966,59
MICHIGAN,12/18/1966,53
MICHIGAN,12/25/1966,38
MICHIGAN,1/1/1967,51
MICHIGAN,1/8/1967,62
MICHIGAN,1/15/1967,55
MICHIGAN,1/22/1967,63
MICHIGAN,1/29/1967,58
MICHIGAN,2/5/1967,54
MICHIGAN,2/12/1967,44
MICHIGAN,2/19/1967,34
MICHIGAN,2/26/1967,44
MICHIGAN,3/5/1967,27
MICHIGAN,3/12/1967,36
MICHIGAN,3/19/1967,49
MICHIGAN,3/26/1967,41
MICHIGAN,4/2/1967,23
MICHIGAN,4/9/1967,43
MICHIGAN,4/16/1967,41
MICHIGAN,4/23/1967,21
MICHIGAN,4/30/1967,39
MICHIGAN,5/7/1967,51
MICHIGAN,5/14/1967,42
MICHIGAN,5/21/1967,33
MICHIGAN,5/28/1967,19
MICHIGAN,6/4/1967,33
MICHIGAN,6/11/1967,30
MICHIGAN,6/18/1967,25
MICHIGAN,6/25/1967,30
MICHIGAN,7/2/1967,18
MICHIGAN,7/9/1967,32
MICHIGAN,7/16/1967,23
MICHIGAN,7/23/1967,16
MICHIGAN,7/30/1967,33
MICHIGAN,8/6/1967,34
MICHIGAN,8/13/1967,38
MICHIGAN,8/20/1967,30
MICHIGAN,8/27/1967,30
MICHIGAN,9/3/1967,34
MICHIGAN,9/10/1967,37
MICHIGAN,9/17/1967,33
MICHIGAN,9/24/1967,45
MICHIGAN,10/1/1967,36
MICHIGAN,10/8/1967,34
MICHIGAN,10/15/1967,29
MICHIGAN,10/22/1967,53
MICHIGAN,10/29/1967,37
MICHIGAN,11/5/1967,23
MICHIGAN,11/12/1967,33
MICHIGAN,11/19/1967,36
MICHIGAN,11/26/1967,39
MICHIGAN,12/3/1967,35
MICHIGAN,12/10/1967,21
MICHIGAN,12/17/1967,36
MICHIGAN,12/24/1967,27
MICHIGAN,12/31/1967,19
MICHIGAN,1/7/1968,38
MICHIGAN,1/14/1968,42
MICHIGAN,1/21/1968,50
MICHIGAN,1/28/1968,37
MICHIGAN,2/4/1968,33
MICHIGAN,2/11/1968,35
MICHIGAN,2/18/1968,32
MICHIGAN,2/25/1968,31
MICHIGAN,3/3/1968,31
MICHIGAN,3/10/1968,29
MICHIGAN,3/17/1968,39
MICHIGAN,3/24/1968,31
MICHIGAN,3/31/1968,40
MICHIGAN,4/7/1968,7
MICHIGAN,4/14/1968,16
MICHIGAN,4/21/1968,39
