Year,Month,Contract_Interest_Rate,Initial_Fees_and_Charges,Effective_Interest_Rate,Term_to_Maturity,Mortgage_Loan_Amount,Purchase_Price,Loan-to-Price_Ratio
1973,01,7.51,1.04,7.68,24.1,24.3,32.8,75.4
1973,02,7.54,1.06,7.71,24.5,23.6,31.1,77.8
1973,03,7.53,1.01,7.70,23.9,24.1,32.2,76.3
1973,04,7.54,1.03,7.71,24.3,24.4,32.8,75.9
1973,05,7.59,1.00,7.76,24.1,23.9,32.2,76.4
1973,06,7.62,1.00,7.78,24.2,24.8,33.6,75.6
1973,07,7.69,0.99,7.85,24.6,25.6,35.0,74.8
1973,08,7.85,0.99,8.01,24.1,25.1,34.3,75.0
1973,09,8.08,1.05,8.25,24.0,25.2,34.9,74.3
1973,10,8.26,1.03,8.44,23.3,24.3,34.2,72.6
1973,11,8.35,1.00,8.52,23.0,24.6,34.9,71.3
1973,12,8.37,0.99,8.53,22.8,24.0,33.7,72.2
1974,01,8.44,1.11,8.63,23.7,25.9,37.0,72.5
1974,02,8.45,1.16,8.64,24.1,28.2,38.7,74.0
1974,03,8.44,1.13,8.63,24.2,26.2,35.8,74.6
1974,04,8.45,1.10,8.63,23.8,25.3,35.1,73.9
1974,05,8.52,1.15,8.71,24.4,27.0,37.0,74.5
1974,06,8.67,1.20,8.87,24.3,26.8,37.1,73.6
1974,07,8.79,1.14,8.99,24.2,27.4,39.3,72.1
1974,08,8.94,1.19,9.14,24.0,26.6,38.0,72.0
1974,09,9.09,1.21,9.29,24.0,27.1,38.8,71.7
1974,10,9.24,1.33,9.47,24.2,27.1,38.9,71.7
1974,11,9.23,1.35,9.47,24.0,27.0,38.6,71.4
1974,12,9.32,1.25,9.54,23.9,26.9,38.8,71.1
1975,01,9.26,1.35,9.49,23.7,26.5,38.6,69.6
1975,02,9.12,1.34,9.35,24.5,29.0,40.4,73.2
1975,03,9.02,1.39,9.25,24.3,27.8,38.8,72.9
1975,04,8.88,1.30,9.09,25.0,30.2,41.6,73.7
1975,05,8.81,1.26,9.02,24.8,28.9,39.9,74.1
