Date,Price,Open,High,Low,Change,Year,Month,Day
1/3/2017,6.9591,6.9726,6.9882,6.9562,-0.21%,2017,1,3
1/4/2017,6.8665,6.9578,6.9695,6.8648,-1.33%,2017,1,4
1/5/2017,6.7883,6.8658,6.8976,6.7815,-1.14%,2017,1,5
1/6/2017,6.8502,6.7997,6.8627,6.7908,0.91%,2017,1,6
1/9/2017,6.88,6.8447,6.8915,6.8445,0.44%,2017,1,9
1/10/2017,6.9109,6.878,6.9142,6.8666,0.45%,2017,1,10
1/11/2017,6.8872,6.9101,6.9185,6.874,-0.34%,2017,1,11
1/12/2017,6.8606,6.8858,6.9005,6.836,-0.39%,2017,1,12
1/13/2017,6.8466,6.8585,6.8758,6.8268,-0.20%,2017,1,13
1/17/2017,6.8026,6.8579,6.873,6.7905,-0.83%,2017,1,17
1/18/2017,6.8392,6.8011,6.8433,6.7995,0.54%,2017,1,18
1/19/2017,6.8464,6.838,6.8552,6.8273,0.11%,2017,1,19
1/20/2017,6.8374,6.8452,6.8586,6.83,-0.13%,2017,1,20
1/23/2017,6.8106,6.8365,6.8469,6.8067,-0.39%,2017,1,23
1/24/2017,6.8231,6.809,6.8288,6.8026,0.18%,2017,1,24
1/25/2017,6.8265,6.8212,6.8404,6.8182,0.05%,2017,1,25
1/26/2017,6.8503,6.825,6.8535,6.8118,0.35%,2017,1,26
1/27/2017,6.8684,6.8482,6.878,6.8456,0.26%,2017,1,27
1/30/2017,6.8581,6.868,6.8738,6.8506,-0.15%,2017,1,30
1/31/2017,6.8274,6.8558,6.8704,6.82,-0.45%,2017,1,31
2/1/2017,6.8291,6.8268,6.8406,6.8245,0.02%,2017,2,1
2/2/2017,6.8099,6.8266,6.8338,6.7993,-0.28%,2017,2,2
2/3/2017,6.801,6.8086,6.8278,6.7916,-0.13%,2017,2,3
2/6/2017,6.8003,6.7999,6.8151,6.7953,-0.01%,2017,2,6
2/7/2017,6.8353,6.7993,6.8403,6.7938,0.51%,2017,2,7
2/8/2017,6.8424,6.8337,6.8578,6.8314,0.10%,2017,2,8
2/9/2017,6.8636,6.8409,6.8648,6.8396,0.31%,2017,2,9
2/10/2017,6.8655,6.8622,6.8735,6.8581,0.03%,2017,2,10
2/13/2017,6.8728,6.863,6.8848,6.8595,0.11%,2017,2,13
2/14/2017,6.8579,6.8721,6.8784,6.8457,-0.22%,2017,2,14
2/15/2017,6.8419,6.857,6.8655,6.8402,-0.23%,2017,2,15
2/16/2017,6.8494,6.841,6.8563,6.8403,0.11%,2017,2,16
2/17/2017,6.8524,6.8484,6.8573,6.8436,0.04%,2017,2,17
2/21/2017,6.8636,6.856,6.8705,6.8537,0.09%,2017,2,21
2/22/2017,6.8574,6.8638,6.8692,6.854,-0.09%,2017,2,22
2/23/2017,6.8484,6.856,6.8664,6.8436,-0.13%,2017,2,23
2/24/2017,6.8536,6.8485,6.859,6.846,0.08%,2017,2,24
2/27/2017,6.862,6.853,6.8654,6.8504,0.12%,2017,2,27
2/28/2017,6.8554,6.8615,6.8648,6.8448,-0.10%,2017,2,28
