Month;air_passenger
1960/1/1;2.42
1960/2/1;2.14
1960/3/1;2.28
1960/4/1;2.5
1960/5/1;2.44
1960/6/1;2.72
1960/7/1;2.71
1960/8/1;2.74
1960/9/1;2.55
1960/10/1;2.49
1960/11/1;2.13
1960/12/1;2.28
1961/1/1;2.35
1961/2/1;1.82
1961/3/1;2.4
1961/4/1;2.46
1961/5/1;2.38
1961/6/1;2.83
1961/7/1;2.68
1961/8/1;2.81
1961/9/1;2.54
1961/10/1;2.54
1961/11/1;2.37
1961/12/1;2.54
1962/1/1;2.62
1962/2/1;2.34
1962/3/1;2.68
1962/4/1;2.75
1962/5/1;2.66
1962/6/1;2.96
1962/7/1;2.66
1962/8/1;2.93
1962/9/1;2.7
1962/10/1;2.65
1962/11/1;2.46
1962/12/1;2.59
1963/1/1;2.75
1963/2/1;2.45
1963/3/1;2.85
1963/4/1;2.99
1963/5/1;2.89
1963/6/1;3.43
1963/7/1;3.25
1963/8/1;3.59
1963/9/1;3.12
1963/10/1;3.16
1963/11/1;2.86
1963/12/1;3.22
1964/1/1;3.24
1964/2/1;2.95
1964/3/1;3.32
1964/4/1;3.29
1964/5/1;3.32
1964/6/1;3.91
1964/7/1;3.8
1964/8/1;4.02
1964/9/1;3.53
1964/10/1;3.61
1964/11/1;3.22
1964/12/1;3.67
1965/1/1;3.75
1965/2/1;3.25
1965/3/1;3.7
1965/4/1;3.98
1965/5/1;3.88
1965/6/1;4.47
1965/7/1;4.6
1965/8/1;4.9
1965/9/1;4.2
1965/10/1;4.2
1965/11/1;3.8
1965/12/1;4.5
1966/1/1;4.4
1966/2/1;4
1966/3/1;4.7
1966/4/1;5.1
1966/5/1;4.9
1966/6/1;5.7
1966/7/1;3.9
1966/8/1;4.2
1966/9/1;5.1
1966/10/1;5
1966/11/1;4.7
1966/12/1;5.5
1967/1/1;5.3
1967/2/1;4.6
1967/3/1;5.9
1967/4/1;5.5
1967/5/1;5.4
1967/6/1;6.7
1967/7/1;6.8
1967/8/1;7.4
1967/9/1;6
1967/10/1;5.8
1967/11/1;5.5
1967/12/1;6.4
1968/1/1;6.2
1968/2/1;5.7
1968/3/1;6.4
1968/4/1;6.7
1968/5/1;6.3
1968/6/1;7.8
1968/7/1;7.6
1968/8/1;8.6
1968/9/1;6.6
1968/10/1;6.5
1968/11/1;6
1968/12/1;7.6
1969/1/1;7
1969/2/1;6
1969/3/1;7.1
1969/4/1;7.4
1969/5/1;7.2
1969/6/1;8.4
1969/7/1;8.5
1969/8/1;9.4
1969/9/1;7.1
1969/10/1;7
1969/11/1;6.6
1969/12/1;8
1970/1/1;10.45
1970/2/1;8.81
1970/3/1;10.61
1970/4/1;9.97
1970/5/1;10.69
1970/6/1;12.4
1970/7/1;13.38
1970/8/1;14.31
1970/9/1;10.9
1970/10/1;9.98
1970/11/1;9.2
1970/12/1;10.94
1971/1/1;10.53
1971/2/1;9.06
1971/3/1;10.17
1971/4/1;11.17
1971/5/1;10.84
1971/6/1;12.09
1971/7/1;13.66
1971/8/1;14.06
1971/9/1;11.14
1971/10/1;11.1
1971/11/1;10
1971/12/1;11.98
1972/1/1;11.74
1972/2/1;10.27
1972/3/1;12.05
1972/4/1;12.27
1972/5/1;12.03
1972/6/1;13.95
1972/7/1;15.1
1972/8/1;15.65
1972/9/1;12.47
1972/10/1;12.29
1972/11/1;11.52
1972/12/1;13.08
1973/1/1;12.5
1973/2/1;11.05
1973/3/1;12.94
1973/4/1;13.24
1973/5/1;13.16
1973/6/1;14.95
1973/7/1;16
1973/8/1;16.98
1973/9/1;13.15
1973/10/1;12.88
1973/11/1;11.99
1973/12/1;13.13
1974/1/1;12.99
1974/2/1;11.69
1974/3/1;13.78
1974/4/1;13.7
1974/5/1;13.57
1974/6/1;15.12
1974/7/1;15.55
1974/8/1;16.73
1974/9/1;12.68
1974/10/1;12.65
1974/11/1;11.18
1974/12/1;13.27
1975/1/1;12.64
1975/2/1;11.01
1975/3/1;13.3
1975/4/1;12.19
1975/5/1;12.91
1975/6/1;14.9
1975/7/1;16.1
1975/8/1;17.3
1975/9/1;12.9
1975/10/1;13.36
1975/11/1;12.26
1975/12/1;13.93
1976/1/1;13.94
1976/2/1;12.75
1976/3/1;14.19
1976/4/1;14.67
1976/5/1;14.66
1976/6/1;16.21
1976/7/1;17.72
1976/8/1;18.15
1976/9/1;14.19
1976/10/1;14.33
1976/11/1;12.99
1976/12/1;15.19
1977/1/1;15.09
1977/2/1;12.94
1977/3/1;15.46
1977/4/1;15.39
1977/5/1;15.34
1977/6/1;17.02
1977/7/1;18.85
1977/8/1;19.49
1977/9/1;15.61
1977/10/1;16.16
1977/11/1;14.84
1977/12/1;17.04
