date,real,nominal
1/1/1973,378.98,65.14
2/1/1973,428.73,74.2
3/1/1973,483.45,84.46
4/1/1973,514.55,90.51
5/1/1973,579.05,102.56
6/1/1973,674.08,120.2
7/1/1973,670.95,119.92
8/1/1973,585.76,106.58
9/1/1973,563.04,102.67
10/1/1973,544.03,100.08
11/1/1973,514.19,95.22
12/1/1973,572.71,106.75
1/1/1974,688.86,129.51
2/1/1974,794.06,151.22
3/1/1974,874.26,168.58
4/1/1974,888.83,172.12
5/1/1974,831.05,162.95
6/1/1974,778.02,153.79
7/1/1974,722.54,143.99
8/1/1974,765.81,154.49
9/1/1974,741.81,151.42
10/1/1974,771.21,158.98
11/1/1974,878.37,182.5
12/1/1974,877.45,183.72
1/1/1975,839.88,176.52
2/1/1975,848.51,179.73
3/1/1975,837.32,178.04
4/1/1975,794.65,169.58
5/1/1975,779.31,167.27
6/1/1975,760,164.36
7/1/1975,755.32,165.17
8/1/1975,742.73,162.7
9/1/1975,652.99,143.83
10/1/1975,644.52,142.75
11/1/1975,637.7,142.28
12/1/1975,622.16,139.31
1/1/1976,585.11,131.25
2/1/1976,582.52,131.14
3/1/1976,587.55,132.51
4/1/1976,565.15,127.92
5/1/1976,556.67,126.89
6/1/1976,548.21,125.62
7/1/1976,510.11,117.51
8/1/1976,474.03,109.78
9/1/1976,492.18,114.38
10/1/1976,497.28,116.16
11/1/1976,558.36,130.64
12/1/1976,570.49,133.95
1/1/1977,560.13,132.2
2/1/1977,572.56,136.52
3/1/1977,618.15,148.38
4/1/1977,616.22,149.17
5/1/1977,602.26,146.5
6/1/1977,574.68,140.75
7/1/1977,582.76,143.43
8/1/1977,587.17,144.98
9/1/1977,604.54,149.75
10/1/1977,639.94,159.03
11/1/1977,648.85,162.05
12/1/1977,639.88,160.33
1/1/1978,687.51,173.35
2/1/1978,702.72,178.31
3/1/1978,718.19,183.68
4/1/1978,677.66,174.7
5/1/1978,678.83,176.64
6/1/1978,698.66,183.76
7/1/1978,714.04,189.25
8/1/1978,775.13,206.37
9/1/1978,791.2,212.29
10/1/1978,840.87,227.63
11/1/1978,755.2,205.33
12/1/1978,760.39,207.7
1/1/1979,824.98,227.33
2/1/1979,882.98,246.16
3/1/1979,858.77,241.84
4/1/1979,840.39,239.36
5/1/1979,895.42,258.27
6/1/1979,957.23,279.24
7/1/1979,999.87,294.86
8/1/1979,1012.91,301.55
9/1/1979,1187.67,357.41
10/1/1979,1288.31,390.87
11/1/1979,1284,393.14
12/1/1979,1473.53,455.92
1/1/1980,2160.01,677.97
2/1/1980,2087.23,664.3
3/1/1980,1703.62,550.62
4/1/1980,1581.78,516.92
5/1/1980,1562.3,515.61
