Date,Total number of license issued, lowest price ,avg price,Total number of applicants
2002/1,1400,13600,14735,3718
2002/2,1800,13100,14057,4590
2002/3,2000,14300,14662,5190
2002/4,2300,16000,16334,4806
2002/5,2350,17800,18357,4665
2002/6,2800,19600,20178,4502
2002/7,3000,19800,20904,3774
2002/8,3000,21000,21601,4640
2002/9,3200,23600,24040,4393
2002/10,3200,26400,27040,4661
2002/11,3200,30800,31721,4021
2002/12,3600,27800,27848,3525
2003/1,3000,18800,24267,9442
2003/2,3000,23800,25254,12030
2003/3,3000,28800,29551,11219
2003/4,3300,34100,34845,8794
2003/5,3800,35000,36903,14634
2003/6,5500,36100,37667,15507
2003/7,6000,36900,38269,11929
2003/8,4500,38500,39369,9315
2003/9,6650,28800,38728,8532
2003/10,4500,32800,34842,9383
2003/11,5042,33100,34284,9849
2003/12,4776,37100,38054,10491
2004/1,5000,38000,39516,8663
2004/2,4800,39600,40053,10156
2004/3,4800,43000,43333,9950
2004/4,5500,44200,45492,8150
2004/5,6527,10800,34226,8114
2004/6,6233,17800,21001,19233
2004/7,6600,21800,23544,14464
2004/8,6800,25100,25991,15506
2004/9,6640,29300,30033,10634
2004/10,6600,28000,29768,9519
2004/11,6600,26000,27620,9188
2004/12,5500,29300,30282,9005
2005/1,5500,28500,32520,6208
2005/2,3800,31700,32425,8949
2005/3,4000,34300,34684,9117
2005/4,5000,36800,37355,8113
2005/5,5833,35000,35661,9673
2005/6,5690,37000,37479,8409
2005/7,6326,37900,38378,8777
2005/8,6829,25000,35905,7520
2005/9,6700,26500,28927,10972
2005/10,6000,25200,26385,11167
2005/11,5700,29800,30320,13633
2005/12,5700,35200,36749,8351
2006/1,5000,26900,31220,5907
2006/2,3800,34200,34887,12367
2006/3,4500,38500,38932,8904
2006/4,5000,37500,38326,7888
2006/5,4500,37700,38139,8301
2006/6,4500,39500,39752,8478
2006/7,5500,39600,39966,8966
2006/8,6200,39900,40459,9190
2006/9,6500,37000,41601,7064
2006/10,6500,36300,37899,11237
2006/11,6000,37800,38460,110234
2006/12,6500,39800,40518,9477
2007/1,6000,38500,40974,6587
2007/2,3500,39100,40473,5056
2007/3,4000,41100,41573,10168
2007/4,5500,43300,43623,10523
2007/5,6000,44500,44853,10273
