DATE,DGS10
1/1/03,4.05
2/1/03,3.9
3/1/03,3.81
4/1/03,3.96
5/1/03,3.57
6/1/03,3.33
7/1/03,3.98
8/1/03,4.45
9/1/03,4.27
10/1/03,4.29
11/1/03,4.3
12/1/03,4.27
1/1/04,4.15
2/1/04,4.08
3/1/04,3.83
4/1/04,4.35
5/1/04,4.72
6/1/04,4.73
7/1/04,4.5
8/1/04,4.28
9/1/04,4.13
10/1/04,4.1
11/1/04,4.19
12/1/04,4.23
1/1/05,4.22
2/1/05,4.17
3/1/05,4.5
4/1/05,4.34
5/1/05,4.14
6/1/05,4
7/1/05,4.18
8/1/05,4.26
9/1/05,4.2
10/1/05,4.46
11/1/05,4.54
12/1/05,4.47
1/1/06,4.42
2/1/06,4.57
3/1/06,4.72
4/1/06,4.99
5/1/06,5.11
6/1/06,5.11
7/1/06,5.09
8/1/06,4.88
9/1/06,4.72
10/1/06,4.73
11/1/06,4.6
12/1/06,4.56
1/1/07,4.76
2/1/07,4.72
3/1/07,4.56
4/1/07,4.69
5/1/07,4.75
6/1/07,5.1
7/1/07,5
8/1/07,4.67
9/1/07,4.52
10/1/07,4.53
11/1/07,4.15
12/1/07,4.1
1/1/08,3.74
2/1/08,3.74
3/1/08,3.51
4/1/08,3.68
5/1/08,3.88
6/1/08,4.1
7/1/08,4.01
8/1/08,3.89
9/1/08,3.69
10/1/08,3.81
11/1/08,3.53
12/1/08,2.42
1/1/09,2.52
2/1/09,2.87
3/1/09,2.82
4/1/09,2.93
5/1/09,3.29
6/1/09,3.72
7/1/09,3.56
8/1/09,3.59
9/1/09,3.4
10/1/09,3.39
11/1/09,3.4
12/1/09,3.59
1/1/10,3.73
2/1/10,3.69
3/1/10,3.73
4/1/10,3.85
5/1/10,3.42
6/1/10,3.2
7/1/10,3.01
8/1/10,2.7
9/1/10,2.65
10/1/10,2.54
11/1/10,2.76
12/1/10,3.29
1/1/11,3.39
2/1/11,3.58
3/1/11,3.41
4/1/11,3.46
5/1/11,3.17
6/1/11,3
7/1/11,3
8/1/11,2.3
9/1/11,1.98
10/1/11,2.15
11/1/11,2.01
12/1/11,1.98
1/1/12,1.97
2/1/12,1.97
3/1/12,2.17
4/1/12,2.05
5/1/12,1.8
6/1/12,1.62
7/1/12,1.53
8/1/12,1.68
9/1/12,1.72
10/1/12,1.75
11/1/12,1.65
12/1/12,1.72
1/1/13,1.91
2/1/13,1.98
3/1/13,1.96
4/1/13,1.76
5/1/13,1.93
6/1/13,2.3
7/1/13,2.58
8/1/13,2.74
9/1/13,2.81
10/1/13,2.62
11/1/13,2.72
12/1/13,2.9
1/1/14,2.86
2/1/14,2.71
3/1/14,2.72
4/1/14,2.71
5/1/14,2.56
6/1/14,2.6
7/1/14,2.54
8/1/14,2.42
9/1/14,2.53
10/1/14,2.3
11/1/14,2.33
12/1/14,2.21
1/1/15,1.88
2/1/15,1.98
3/1/15,2.04
4/1/15,1.94
5/1/15,2.2
6/1/15,2.36
7/1/15,2.32
8/1/15,2.17
9/1/15,2.17
10/1/15,2.07
11/1/15,2.26
12/1/15,2.24
1/1/16,2.09
2/1/16,1.78
3/1/16,1.89
4/1/16,1.81
5/1/16,1.81
6/1/16,1.64
7/1/16,1.5
8/1/16,1.56
9/1/16,1.63
10/1/16,1.76
11/1/16,2.14
12/1/16,2.49
1/1/17,2.43
2/1/17,2.42
3/1/17,2.48
4/1/17,2.3
5/1/17,2.3
6/1/17,2.19
7/1/17,2.32
8/1/17,2.21
9/1/17,2.2
10/1/17,2.36
11/1/17,2.35
12/1/17,2.4
1/1/18,2.58
