DATE,STLFSI
1993-12-31,0.178
1994-01-07,0.223
1994-01-14,0.166
1994-01-21,0.184
1994-01-28,0.159
1994-02-04,0.144
1994-02-11,0.251
1994-02-18,0.254
1994-02-25,0.346
1994-03-04,0.425
1994-03-11,0.458
1994-03-18,0.452
1994-03-25,0.492
1994-04-01,0.603
1994-04-08,0.736
1994-04-15,0.674
1994-04-22,0.707
1994-04-29,0.627
1994-05-06,0.703
1994-05-13,0.877
1994-05-20,0.711
1994-05-27,0.730
1994-06-03,0.765
1994-06-10,0.686
1994-06-17,0.699
1994-06-24,0.766
1994-07-01,0.893
1994-07-08,0.888
1994-07-15,0.807
1994-07-22,0.710
1994-07-29,0.689
1994-08-05,0.667
1994-08-12,0.739
1994-08-19,0.649
1994-08-26,0.657
1994-09-02,0.644
1994-09-09,0.696
1994-09-16,0.730
1994-09-23,0.737
1994-09-30,0.857
1994-10-07,0.887
1994-10-14,0.899
1994-10-21,0.875
1994-10-28,0.908
1994-11-04,0.886
1994-11-11,0.905
1994-11-18,0.888
1994-11-25,0.937
1994-12-02,0.914
1994-12-09,0.907
1994-12-16,0.934
1994-12-23,0.953
1994-12-30,0.968
1995-01-06,1.030
1995-01-13,0.928
1995-01-20,0.872
1995-01-27,0.876
1995-02-03,0.808
1995-02-10,0.785
1995-02-17,0.793
1995-02-24,0.775
1995-03-03,0.779
1995-03-10,0.886
1995-03-17,0.782
1995-03-24,0.763
1995-03-31,0.783
1995-04-07,0.790
1995-04-14,0.781
1995-04-21,0.772
1995-04-28,0.719
1995-05-05,0.693
1995-05-12,0.672
1995-05-19,0.651
1995-05-26,0.576
1995-06-02,0.607
1995-06-09,0.631
1995-06-16,0.702
1995-06-23,0.678
1995-06-30,0.724
1995-07-07,0.701
1995-07-14,0.598
1995-07-21,0.635
1995-07-28,0.724
1995-08-04,0.714
1995-08-11,0.668
1995-08-18,0.679
1995-08-25,0.641
1995-09-01,0.667
1995-09-08,0.607
1995-09-15,0.575
1995-09-22,0.599
1995-09-29,0.646
1995-10-06,0.609
1995-10-13,0.591
1995-10-20,0.580
1995-10-27,0.619
1995-11-03,0.531
1995-11-10,0.470
1995-11-17,0.478
1995-11-24,0.448
1995-12-01,0.409
1995-12-08,0.384
1995-12-15,0.386
1995-12-22,0.504
1995-12-29,0.471
1996-01-05,0.421
1996-01-12,0.469
1996-01-19,0.444
1996-01-26,0.410
1996-02-02,0.360
1996-02-09,0.384
1996-02-16,0.390
1996-02-23,0.479
1996-03-01,0.559
1996-03-08,0.589
1996-03-15,0.722
1996-03-22,0.692
1996-03-29,0.695
1996-04-05,0.717
1996-04-12,0.828
1996-04-19,0.800
1996-04-26,0.712
1996-05-03,0.771
1996-05-10,0.780
1996-05-17,0.671
1996-05-24,0.624
1996-05-31,0.679
1996-06-07,0.741
1996-06-14,0.764
1996-06-21,0.746
1996-06-28,0.729
1996-07-05,0.718
1996-07-12,0.766
1996-07-19,0.787
1996-07-26,0.808
1996-08-02,0.809
1996-08-09,0.641
1996-08-16,0.620
1996-08-23,0.620
1996-08-30,0.724
1996-09-06,0.833
1996-09-13,0.725
1996-09-20,0.708
1996-09-27,0.765
1996-10-04,0.767
1996-10-11,0.710
1996-10-18,0.649
1996-10-25,0.663
1996-11-01,0.632
1996-11-08,0.528
1996-11-15,0.490
1996-11-22,0.465
1996-11-29,0.499
1996-12-06,0.579
1996-12-13,0.672
1996-12-20,0.707
1996-12-27,0.623
1997-01-03,0.657
1997-01-10,0.678
1997-01-17,0.635
1997-01-24,0.618
1997-01-31,0.650
1997-02-07,0.605
1997-02-14,0.501
1997-02-21,0.499
1997-02-28,0.527
1997-03-07,0.578
1997-03-14,0.573
1997-03-21,0.616
1997-03-28,0.627
1997-04-04,0.788
1997-04-11,0.738
1997-04-18,0.733
1997-04-25,0.772
1997-05-02,0.725
1997-05-09,0.731
1997-05-16,0.704
1997-05-23,0.662
1997-05-30,0.719
1997-06-06,0.737
1997-06-13,0.677
1997-06-20,0.622
1997-06-27,0.624
1997-07-04,0.575
1997-07-11,0.516
1997-07-18,0.472
1997-07-25,0.458
1997-08-01,0.417
1997-08-08,0.422
1997-08-15,0.494
1997-08-22,0.496
1997-08-29,0.524
1997-09-05,0.586
1997-09-12,0.578
1997-09-19,0.525
1997-09-26,0.538
1997-10-03,0.522
1997-10-10,0.494
1997-10-17,0.539
1997-10-24,0.572
1997-10-31,0.735
1997-11-07,0.649
1997-11-14,0.704
1997-11-21,0.571
1997-11-28,0.539
1997-12-05,0.482
1997-12-12,0.529
1997-12-19,0.537
1997-12-26,0.482
1998-01-02,0.412
1998-01-09,0.457
1998-01-16,0.413
1998-01-23,0.438
1998-01-30,0.406
1998-02-06,0.357
1998-02-13,0.305
1998-02-20,0.286
1998-02-27,0.258
1998-03-06,0.374
1998-03-13,0.347
1998-03-20,0.264
1998-03-27,0.316
1998-04-03,0.379
1998-04-10,0.340
1998-04-17,0.340
1998-04-24,0.358
1998-05-01,0.456
1998-05-08,0.373
1998-05-15,0.342
1998-05-22,0.275
1998-05-29,0.352
1998-06-05,0.367
1998-06-12,0.314
1998-06-19,0.344
1998-06-26,0.357
1998-07-03,0.313
1998-07-10,0.281
1998-07-17,0.257
1998-07-24,0.308
1998-07-31,0.349
1998-08-07,0.409
1998-08-14,0.489
1998-08-21,0.519
1998-08-28,0.714
1998-09-04,0.945
1998-09-11,0.941
1998-09-18,0.979
1998-09-25,0.946
1998-10-02,1.066
1998-10-09,1.455
1998-10-16,1.508
1998-10-23,1.268
1998-10-30,1.084
1998-11-06,0.954
1998-11-13,1.036
1998-11-20,0.839
1998-11-27,0.581
1998-12-04,0.659
1998-12-11,0.702
1998-12-18,0.774
1998-12-25,0.677
1999-01-01,0.676
1999-01-08,0.651
1999-01-15,0.707
1999-01-22,0.691
1999-01-29,0.590
1999-02-05,0.589
1999-02-12,0.608
1999-02-19,0.618
1999-02-26,0.575
1999-03-05,0.677
1999-03-12,0.554
1999-03-19,0.527
1999-03-26,0.570
1999-04-02,0.570
1999-04-09,0.517
1999-04-16,0.547
1999-04-23,0.532
1999-04-30,0.488
1999-05-07,0.511
1999-05-14,0.552
1999-05-21,0.597
1999-05-28,0.663
1999-06-04,0.749
1999-06-11,0.783
1999-06-18,0.760
1999-06-25,0.745
1999-07-02,0.756
1999-07-09,0.759
1999-07-16,0.722
1999-07-23,0.781
1999-07-30,0.851
1999-08-06,0.915
1999-08-13,0.949
1999-08-20,0.900
1999-08-27,0.778
1999-09-03,0.892
1999-09-10,0.947
1999-09-17,0.964
1999-09-24,0.953
1999-10-01,1.051
1999-10-08,1.285
1999-10-15,1.271
1999-10-22,1.222
1999-10-29,1.176
1999-11-05,1.090
1999-11-12,0.958
1999-11-19,0.892
1999-11-26,0.900
1999-12-03,0.958
1999-12-10,0.935
1999-12-17,0.942
1999-12-24,0.932
1999-12-31,0.977
2000-01-07,1.017
2000-01-14,0.996
2000-01-21,0.953
2000-01-28,0.929
2000-02-04,0.944
2000-02-11,0.962
2000-02-18,0.921
2000-02-25,0.926
2000-03-03,0.889
2000-03-10,0.875
2000-03-17,0.906
2000-03-24,0.864
2000-03-31,0.987
2000-04-07,1.003
2000-04-14,1.077
2000-04-21,1.097
2000-04-28,1.155
2000-05-05,1.289
2000-05-12,1.311
2000-05-19,1.324
2000-05-26,1.403
2000-06-02,1.412
2000-06-09,1.251
2000-06-16,1.232
2000-06-23,1.235
2000-06-30,1.249
2000-07-07,1.136
2000-07-14,1.025
2000-07-21,0.991
2000-07-28,0.931
2000-08-04,0.919
2000-08-11,0.824
2000-08-18,0.809
2000-08-25,0.772
2000-09-01,0.763
2000-09-08,0.839
2000-09-15,0.883
2000-09-22,0.924
2000-09-29,0.914
2000-10-06,0.959
2000-10-13,1.076
2000-10-20,1.056
2000-10-27,1.009
2000-11-03,0.991
2000-11-10,1.026
2000-11-17,1.023
2000-11-24,1.044
2000-12-01,1.134
2000-12-08,1.179
2000-12-15,1.149
2000-12-22,1.376
2000-12-29,1.192
2001-01-05,1.197
2001-01-12,1.046
2001-01-19,0.942
2001-01-26,0.910
2001-02-02,0.846
2001-02-09,0.758
2001-02-16,0.773
2001-02-23,0.879
2001-03-02,0.831
2001-03-09,0.784
2001-03-16,0.901
2001-03-23,0.993
2001-03-30,1.007
2001-04-06,1.165
2001-04-13,1.133
2001-04-20,1.062
2001-04-27,1.004
2001-05-04,0.872
2001-05-11,0.791
2001-05-18,0.830
2001-05-25,0.793
2001-06-01,0.752
2001-06-08,0.655
2001-06-15,0.704
2001-06-22,0.681
2001-06-29,0.654
2001-07-06,0.642
2001-07-13,0.672
2001-07-20,0.660
2001-07-27,0.629
2001-08-03,0.547
2001-08-10,0.544
2001-08-17,0.558
2001-08-24,0.558
2001-08-31,0.538
2001-09-07,0.651
2001-09-14,0.975
2001-09-21,1.169
2001-09-28,0.977
2001-10-05,0.917
2001-10-12,0.866
2001-10-19,0.849
2001-10-26,0.743
2001-11-02,0.738
2001-11-09,0.661
2001-11-16,0.684
2001-11-23,0.726
2001-11-30,0.781
2001-12-07,0.754
2001-12-14,0.853
2001-12-21,0.853
2001-12-28,0.739
2002-01-04,0.714
2002-01-11,0.589
2002-01-18,0.557
2002-01-25,0.570
2002-02-01,0.568
2002-02-08,0.592
2002-02-15,0.534
2002-02-22,0.552
2002-03-01,0.525
2002-03-08,0.556
2002-03-15,0.588
2002-03-22,0.574
2002-03-29,0.584
2002-04-05,0.610
2002-04-12,0.573
2002-04-19,0.485
2002-04-26,0.446
2002-05-03,0.403
